node,r,s,a,x,y,scenario_d,scenario_m,scenario_c,scenario_h,scenario_r,scenario_s,scenario_a,scenario_x,scenario_y,scenario_sample_size,scenario_freq,scenario_d_freq,scenario_m_freq,scenario_c_freq,scenario_h_freq,scenario_r_low,scenario_r_high,scenario_r_range,scenario_s_low,scenario_s_high,scenario_s_range,scenario_a_low,scenario_a_high,scenario_a_range,scenario_x_low,scenario_x_high,scenario_x_range,scenario_y_low,scenario_y_high,scenario_y_range,node_age,selection,true_x,true_y,true_angle,true_selection
368,-4.57653130437809,8.02575965167616,0.648978810302265,120.025148984172,-27.8698686730629,0,0,1,4,-4.01563861778309,8.36108291724766,2.58317807329004,120.943879516974,-27.9776563864206,4389,0.0243831978711229,0.475258470786273,0.545063638535341,0.285381747879178,0.190498941672546,-8.853704,2.768606,11.62231,1.521574,14.54716,13.025586,-1.956439,6.732222,8.688661,115.2543,126.4615,11.2072,-30.46242,-25.58325,4.87917,14.6903971984,0,-0.960652920651879,0.277751626535317,2.86013980282902,0
369,-4.82263370410275,9.03701139224227,0.509855298118038,119.190331703157,-27.6137073842923,1,0,0,6,-5.31084820744836,8.79895185132383,1.40569971593541,119.251192580739,-27.4595810328775,3437,0.0190943383647869,0.484480641774212,0.548941394770029,0.282703984977861,0.124815973244593,-11.40349,0.4554024,11.8588924,4.222713,13.66948,9.446767,-2.95652,5.613199,8.569719,113.8675,124.6081,10.7406,-30.21801,-24.92701,5.291,14.0155942484,2,0.25469726698668,-0.967020838549778,4.96992361329585,2
370,-5.14848182214616,10.144983296055,0.594126341163892,118.775575717913,-28.0137467274626,0,0,1,5,-5.47558295033619,10.3001939156479,1.63234756740831,119.128877689487,-27.5819324235941,3272,0.0181776767906845,0.518619341003661,0.546913628257621,0.308253843034205,0.167982400097777,-10.71051,1.960848,12.671358,6.514135,13.55622,7.042085,-2.53371,5.495186,8.028896,113.4921,124.6229,11.1308,-30.20203,-24.79278,5.40925,12.9985949984,1,-0.441137319528773,-0.897439616530811,4.25552340747636,1
371,-8.13075664243532,10.2640948698452,1.5922365418226,118.013827254849,-28.7614081800657,1,1,2,7,-7.04823857742003,10.779042391503,1.88584031746326,117.730846066444,-28.4219729937014,8097,0.0449830834273143,0.672690707273848,0.574469030727607,0.273559591335604,0.261059660779662,-14.4455,0.4494046,14.8949046,6.700771,15.53937,8.838599,-0.6774081,3.233667,3.9110751,112.3276,123.4013,11.0737,-30.86108,-25.76072,5.10036,7.2805629984,3,0.611261154538579,-0.79142896140599,5.37004210835408,3
372,-2.69665350919078,6.06187685224951,1.16413265545731,120.701695697802,-26.0039135385359,1,0,2,3,-4.32395280933122,7.17207399678826,2.1146983314433,121.148208353159,-26.7043701215966,7566,0.0420330998161121,0.580341220326554,0.548919172671263,0.284815084360642,0.217743234759807,-8.285054,1.023474,9.308528,2.928644,13.04297,10.114326,-1.013347,4.834306,5.847653,116.0589,126.5229,10.464,-29.34819,-23.80187,5.54632,15.3203674981,3,-0.63433034179156,0.773062104544391,2.25793829749323,3
373,-2.98127486958624,5.67477160094899,0.820743559414792,120.897614606586,-26.0621449336948,1,1,3,2,-3.80114086010592,5.47106504249548,1.47258052056316,121.431401420821,-26.6421815267373,3871,0.0215054360809107,0.548613618813229,0.465086305076083,0.23326537074794,0.171015716579352,-8.286473,0.6287365,8.9152095,0.3334572,10.59197,10.2585128,-1.55813,4.003109,5.561239,116.1635,126.9139,10.7504,-29.27463,-23.68673,5.5879,14.5331306648,2,-0.158042966181777,0.987432236075198,1.72950472159144,2
374,-3.67281168925175,4.28265028271778,2.08793967540941,122.248189922278,-26.2198545618635,1,1,2,0,-4.92330293698998,4.17574826492484,4.85550912408017,120.736160254116,-26.009998595204,5588,0.0310442719762668,0.50913606035522,0.583763423536536,0.259493002816651,0.210698829450948,-15.351,2.623763,17.974763,-1.221837,9.332083,10.55392,0.4733805,7.109701,6.6363205,115.2913,127.0776,11.7863,-28.7803,-23.34593,5.43437,11.4315139978,0,0.986583860363297,-0.163255280069756,6.1191960012659,0
375,-3.50691973268496,2.55686478954307,3.16757945631636,127.140606438298,-32.1154565389637,1,0,3,0,-6.05616771999902,3.12467518123748,4.65043284506574,122.34479633449,-31.5185152446117,20461,0.113671590713385,0.634863139649224,0.49624168754618,0.343870311831601,0.354759140226999,-16.19965,9.238894,25.438544,-0.8133299,8.376195,9.1895249,2.021788,6.860658,4.83887,114.3485,130.8949,16.5464,-35.31631,-27.52136,7.79495,10.1699019978,0,0.990550825660111,-0.137146132953401,6.14560556229928,0
376,-0.618807639091352,3.33475959098561,1.78378979529238,124.686176375687,-26.4334152108599,1,1,2,3,0.078708588492647,2.7829042505,3.04801460002353,125.099121955882,-26.6616888911765,6800,0.0377775679024005,0.577291237270904,0.517936011466603,0.288798395564469,0.239376447908623,-8.888444,7.152898,16.041342,-0.5293403,6.916374,7.4457143,-1.619112,5.953726,7.572838,118.7419,132.7314,13.9895,-29.65389,-23.69908,5.95481,17.7868154988,3,-0.680238878272153,0.732990496859982,2.31888480764923,3
377,-3.62032388600462,1.47054468802709,1.36802587261418,129.0446300665,-28.0834101058883,0,0,3,7,-4.43857901899983,2.10051476360606,2.13904805709474,127.513094931111,-26.9902331808131,5879,0.0326609296615019,0.563207982177877,0.500497219459892,0.244626418742118,0.184448975283471,-12.35457,4.662008,17.016578,-2.817922,9.215097,12.033019,-2.338425,4.427893,6.766318,121.1734,134.1471,12.9737,-30.20707,-23.53724,6.66983,10.8769052488,3,0.750153594225737,-0.661263627511908,5.56068330258997,3
378,-7.40372781344609,-0.397450208460286,1.22045267382606,131.043552091933,-30.4687306839962,0,0,1,4,-7.37972700021896,-0.742777384369246,1.94173993378701,132.212096989301,-30.608251154516,4019,0.022327653735257,0.513147149182505,0.512608263287426,0.243015316581575,0.146565852411931,-12.88878,-2.812897,10.075883,-4.026895,3.467511,7.494406,-1.922237,4.826899,6.749136,127.2496,137.3868,10.1372,-32.635,-28.56026,4.07474,4.92764199880001,0,-0.999370894011061,-0.035465704610688,3.17706579730157,0
379,-9.56134841125549,1.10554850967385,3.24801086816734,129.813138289787,-31.8209242884762,1,1,0,0,-9.3205576279313,1.3686711991996,3.8047148273588,129.817065809754,-31.8495693454806,18166,0.100921661546325,0.540308109399392,0.669351836934239,0.208037733123705,0.425758745784746,-12.32175,-4.300225,8.021525,-1.832127,4.414283,6.24641,1.642984,5.501774,3.85879,126.3137,133.2112,6.89749999999999,-33.31886,-30.38842,2.93044,2.3300959988,0,0.997678090692084,-0.0681060008589338,6.21502654532913,0
